anime_id,score,rating_count,ranked,popularity,members,favorites
13509,N/A,,,15718,243,0
34549,7.39,14833,,2980,38199,79
5034,7.29,30325,,2073,72042,111
17341,6.73,9950,,4213,18857,3
9591,5.81,4976,,4571,15433,15
29467,N/A,,,16424,198,1
2428,6.20,565,,10647,1328,2
3545,7.75,4580,,4630,14969,151
2430,6.07,988,,8603,2962,6
33200,N/A,,,16612,188,0
22055,6.11,542,,9844,1846,0
42550,N/A,,,16494,212,0
2534,6.30,1863,,6849,5602,11
30193,5.84,136,,13450,458,0
37176,7.60,3197,,6612,6161,17
1493,7.03,1944,,6933,5421,9
270,7.49,321151,,242,630629,5327
1685,5.83,11235,,3989,21377,31
23575,N/A,,,15509,259,0
47250,6.10,19953,,1921,84158,363
11835,6.95,284,,10870,1213,6
38068,6.30,1688,,7091,5118,2
2162,6.30,2207,,5756,8667,11
48643,N/A,,,5485,17059,64
3379,5.87,562,,9648,1982,4
3436,6.54,194,,12322,695,1
